2026-06-21 01:36:43.662 [INFO]  PyTorch Studio запуск... Сетевые и графические интерфейсы инициализированы. (../../../../pyTorch-Studio/main.cpp:143)
2026-06-21 01:36:44.161 [DEBUG] vkDebug: setup_loader_term_phys_devs:  Failed to detect any valid GPUs in the current config
2026-06-21 01:36:44.161 [WARN]  No physical devices
2026-06-21 01:36:44.562 [WARN]  QLayout: Attempting to add QLayout "" to QToolBar "topContainerBar", which already has a layout
2026-06-21 01:36:44.562 [WARN]  QWidget::setLayout: Attempting to set QLayout "" on QToolBar "topContainerBar", which already has a layout
2026-06-21 01:36:44.845 [INFO]  🟢 [СИСТЕМНЫЙ ЛОГ] Кнопка btnStartTraining успешно найдена в памяти GUI! (../../../../pyTorch-Studio/neuro_programm.cpp:1459)
2026-06-21 01:36:44.845 [WARN]  QObject::disconnect: wildcard call disconnects from destroyed signal of QPushButton::btnStartTraining
2026-06-21 01:37:19.884 [WARN]  QProcess: Destroyed while process ("ollama") is still running.
2026-06-21 01:37:51.330 [WARN]  QProcess: Destroyed while process ("ollama") is still running.
